EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 1 1 2 2 1 0 0 0 0.110019569471624 0.463620352250489
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 3 0 2 1 0 1 1 0 0 0.112563600782779 0.452426614481409
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 1 1 0 0 1 0 0.112739726027397 0.430293542074364
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 2 3 1 0 0 0 0.121819960861057 0.427886497064579
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 0 1 1 2 1 1 0 0 0.122270058708415 0.422446183953033
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 0 1 0 0 1 1 0 1 0 0.127906066536204 0.408943248532289
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 0 1 0 0 1 1 0 1 0 0.127906066536204 0.408943248532289
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 2 2 1 1 0 0 0.106947 0.446497
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 0 1 1 2 1 0 0 0 0.109237 0.419452
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 1 3 1 0 0 0 0.111018 0.414814
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 0 1 0 0 1 1 0 1 0 0.127906066536204 0.408943248532289
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 0 1 1 2 1 0 0 0 0.109237 0.419452
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 1 3 1 0 0 0 0.111018 0.414814
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 1 0 0 0 0.104736 0.430333
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 0 1 0 0 1 1 0 1 0 0.127906066536204 0.408943248532289
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 3 1 0 0 0 0.109941 0.412153
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 0 1 3 1 0 0 0 0.109022 0.414051
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 0 0 1 3 1 0 0 0 0.104325 0.429217
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 2 3 1 0 0 0 0.109941 0.412153
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 0 1 3 1 0 0 0 0.109022 0.414051
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 0 0 1 3 1 0 0 0 0.104325 0.429217
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 3 0 1 1 2 0 0 0 0 0.116419 0.411977
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 1 1 2 2 0 0 0 0 0.108063 0.429198
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 0 0 1 3 1 0 0 0 0.104325 0.429217
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 0 2 3 1 0 0 0 0.105421 0.41775
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 0 2 3 1 0 0 0 0.105421 0.41775
6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 0 0 0 0.105323 0.409002
8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 1 0 0 0 0.104599 0.41272
9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
9 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
9 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
9 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 0 0 0 0.105323 0.409002
9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 1 0 0 0 0.104599 0.41272
10 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 0 0 0 0.105323 0.409002
10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 1 0 0 0 0.104599 0.41272
10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 1 0 0 0.105264 0.410489
10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 2 0 0 1 2 0 0 1 0 0.114638 0.402642
10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225
11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
11 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
11 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 0 0 0 0.105323 0.409002
11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 1 0 0 0 0.104599 0.41272
11 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 1 0 0 0.105264 0.410489
11 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 2 0 0 1 2 0 0 1 0 0.114638 0.402642
11 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225
11 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 2 0 0 1 2 1 0 0 0 0.112818 0.403131
12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 0 1 2 1 0 0 0 0.117162 0.401037
12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 2 3 0 0 0 0 0.107436 0.406301
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313
12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1 0 2 3 0 0 0 0 0.109276 0.40456
12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 2 0 2 1 0 0 0 0 0.103875 0.41683
12 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 0 0 0 0.105323 0.409002
12 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 1 0 0 0 0.104599 0.41272
12 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 2 3 0 1 0 0 0.105264 0.410489
12 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 2 0 0 1 2 0 0 1 0 0.114638 0.402642
