IgnitePropellant,SealGas,GeneratePressure,InitiateInflightPower,ModifyAttitude,ArmWarheadFuze,SendFireCommand,Launch,BallisticFlight,TerminalEffects,System,System.1,red_system.1
2,3,3,0,2,0,0,3,0,0,0,0.131722,0.371115
2,3,3,1,0,0,1,2,1,0,0,0.114364,0.377025
2,1,3,0,1,0,1,3,0,1,0,0.112935,0.385949
2,2,3,3,0,0,2,2,0,0,0,0.099569,0.40272
2,3,3,2,0,0,2,2,0,0,0,0.100665,0.389139
0,3,3,2,0,0,2,3,0,0,0,0.109139,0.389061
2,2,3,1,0,0,2,3,0,0,0,0.11047,0.388063
3,1,2,2,0,0,2,2,0,0,0,0.093542,0.422798
