"Gen" "PropellantDoesNotIgnite" "PropellantSnuffsOut" "Blowby_projectile" "Blowby_breech" "NotEnoughPressure" "TooMuchPressure" "FailToInitiatePower" "InsufficientBatterySupply" "MotorDamage" "InadequateTorque" "GEUCommandNotRecieved" "CapacitorNotCharged" "CommandSentEarly" "CommandSentLate" "IgnitePropellant" "SealGas" "GeneratePressure" "InitiateInflightPower" "ModifyAttitude" "ArmWarheadFuze" "SendFireCommand" "Launch" "BallisticFlight" "TerminalEffects" "System" "red_system" "System" "red_system" "des"
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 2 3 0 0 0 0 0.099628 0.412485 0.099628
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 0 1 2 2 0 0 0 0 0.099902 0.425225 0.099902
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 3 0 0 2 2 0 0 1 0 0.100548 0.428356 0.100548
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 3 0 0 2 2 0 0 1 0 0.100548 0.428356 0.100548
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 3 0 0 2 2 0 0 1 0 0.100548 0.428356 0.100548
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 3 0 0 2 2 0 0 1 0 0.100548 0.428356 0.100548
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 2 3 0 0 0 0 0.101722 0.420313 0.101722
