PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 0 2 0 2 0 1 0 0 0.325362035225049 0.672465753424657
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 2 2 0 0 0.309158512720156 0.563698630136986
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 2 2 1 1 0 0.318180039138943 0.592348336594912
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 0 1 1 0 1 0 0 0.330195694716243 0.593698630136986
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 2 2 2 0 1 1 0 0 0.307847358121331 0.560332681017612
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 2 2 0 1 2 1 0 0.303150684931507 0.589275929549902
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 1 2 2 0 1 0 0.30160469667319 0.590293542074364
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 1 1 1 1 2 0 1 0 0.314109589041096 0.558630136986302
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 1 1 3 0 1 0 0.312093933463796 0.517181996086106
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 3 2 2 1 0 0 1 0 0 0.313502935420744 0.593013698630137
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 1 2 2 0 1 0 0 0.328708414872798 0.628414872798435
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 3 0 1 2 0 0 0 0.306829745596869 0.564951076320939
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 2 2 0 0 0.313933463796478 0.567788649706458
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 2 2 0 1 1 1 0 0.303424657534247 0.589549902152642
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 1 2 1 1 0 0.316027397260274 0.591956947162427
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3 1 1 1 1 0 1 0 0 0.319628180039139 0.629608610567515
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 3 1 1 1 0 0 0.330821917808219 0.6326614481409
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 1 0 2 1 1 0 0 0.308219178082192 0.595205479452055
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 1 1 0 2 1 0 0 0 0.332857142857143 0.593972602739726
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 1 0 0 2 1 1 0 0 0.324227005870841 0.594011741682974
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 1 0 0 2 3 0 0 0.317866927592955 0.595675146771037
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 1 2 1 0 2 1 0 0 0.310684931506849 0.567005870841487
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 0 0 1 3 1 0 0.310684931506849 0.587416829745597
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 2 1 1 1 1 0 0.307906066536204 0.555499021526419
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 0 3 1 0 0 2 1 0 0.314637964774951 0.664090019569472
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 1 1 0 1 2 0 0 0.308473581213307 0.561682974559687
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 1 1 1 2 2 0 0 0 0.314109589041096 0.563698630136986
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 1 0 1 2 1 0 0 0 0.335205479452055 0.595401174168298
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 2 1 2 1 2 0 0 0 0 0.325557729941292 0.628121330724071
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 3 3 0 1 2 0 0 0.308199608610567 0.594559686888454
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 1 1 0 1 1 0 1 0 0.326125244618395 0.5873385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 1 1 1 1 1 2 0 0 0 0.32853228962818 0.563679060665362
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 2 2 0 1 0 0.320489236790607 0.589178082191781
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 1 2 1 1 1 0 0.322563600782779 0.590939334637965
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 1 1 0 1 1 0 0.318688845401174 0.555714285714286
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 3 0 1 2 0 0 1 0 0.334344422700587 0.554363992172212
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 1 2 2 0 0 0.302328767123288 0.513835616438356
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 2 1 2 0 1 1 0 0.310039138943248 0.66426614481409
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 0 2 1 1 1 1 0 0.315557729941292 0.589823874755382
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 3 0 0 1 0 2 1 1 0 0.320215264187867 0.590039138943248
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 2 3 1 1 1 0 0 0 0.307592954990215 0.563307240704501
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 0 1 3 2 0 0 0 0 0 0.33041095890411 0.629980430528376
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 3 1 2 2 0 0 0.321898238747554 0.566692759295499
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 1 1 1 2 1 0 0 0.303953033268102 0.514755381604697
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 1 1 1 1 1 1 0 0.322994129158513 0.626673189823875
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 2 2 1 1 1 0 0.307866927592955 0.554872798434442
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 2 1 3 1 0 0 0.310900195694716 0.565088062622309
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 1 2 1 1 0 0 0.321389432485323 0.594598825831702
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 1 1 0 1 2 0 1 0 0 0.337240704500978 0.629236790606654
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 2 3 0 0 0.317788649706458 0.5973385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 1 1 2 2 0 1 1 0 0 0.304931506849315 0.593052837573385
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 3 2 0 0 0.301174168297456 0.538982387475538
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 2 1 3 1 0 0 0.316477495107632 0.56545988258317
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 1 2 2 0 1 0 0 0.320097847358121 0.59225048923679
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 2 0 0 1 0 2 1 0 0.310195694716243 0.585616438356165
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 2 1 1 0 0 0.321272015655577 0.593033268101761
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 3 0 3 2 0 0 1 0 0.31440313111546 0.555577299412916
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 2 1 1 1 1 0 0.299608610567515 0.533796477495108
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 2 1 0 1 2 1 0 0.314207436399217 0.621487279843445
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 2 2 2 1 0 0 0.313796477495108 0.563972602739726
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 2 2 0 2 1 0 0 0 0.323972602739726 0.564422700587084
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 2 1 3 1 0 0 0 0.32761252446184 0.631154598825832
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 1 0 1 1 1 2 0 0 0.321565557729941 0.596516634050881
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 1 0 2 2 1 0 0 0.32091976516634 0.59573385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 0 3 1 2 1 0 0 0.320117416829746 0.565029354207436
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 1 2 1 0 1 0 0 0.327005870841487 0.630117416829746
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 2 1 1 3 1 0 0 0 0.319236790606653 0.564677103718199
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 1 2 2 1 0 0 0.307671232876712 0.537945205479452
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 2 0 2 2 0 0 0 0.307690802348337 0.56385518590998
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 2 1 2 0 0 0.304168297455969 0.595107632093934
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 1 2 1 0 2 1 0 0.304657534246575 0.622328767123288
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 2 1 1 1 0 0.316575342465754 0.58839530332681
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 1 2 0 2 1 0 0.315303326810176 0.621976516634051
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 1 1 2 1 0 0.307553816046967 0.56105675146771
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 1 1 2 2 0 0 0.314461839530333 0.514383561643836
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 1 0 1 2 1 0 0.310508806262231 0.587866927592955
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 2 1 2 0 0 1 0 0.324735812133072 0.666066536203522
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 2 2 1 0 1 0 0.323150684931507 0.588708414872798
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 2 1 1 0 2 0 1 0 0.304109589041096 0.534285714285714
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 1 0 0 1 0 2 0 0 0.327181996086106 0.630469667318982
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 2 2 0 1 0 0.324794520547945 0.591252446183953
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 1 2 2 0 0 0.321174168297456 0.597455968688845
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 3 1 3 2 0 0 0 1 0 0.326105675146771 0.621643835616439
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 3 0 0 0 1 1 1 0 0.312583170254403 0.529823874755381
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 2 0 3 1 0 1 0 0.320802348336595 0.625088062622309
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 2 3 0 1 1 0 0 0.317162426614481 0.562876712328767
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 2 3 2 1 0 0 0 0 0.323091976516634 0.591937377690802
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 0 1 1 2 0 0 0.303718199608611 0.537847358121331
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 1 0 1 1 2 0 0 0.320176125244618 0.595499021526419
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 1 2 1 0 0.303228962818004 0.586849315068493
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 0 1 1 2 0 1 0 0.320058708414873 0.558003913894325
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 2 1 2 0 1 2 1 0 0.307788649706458 0.561017612524462
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 1 1 0 1 3 0 0 0.313816046966732 0.5946771037182
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 3 2 0 2 0 0 0 0.300156555772994 0.562230919765166
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 2 3 0 1 1 1 0 0.296262230919765 0.558023483365949
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 1 2 1 1 1 0 0 0.311526418786693 0.595205479452055
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 2 2 0 0 3 1 0 0 0.296536203522505 0.512191780821918
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 2 1 0 1 1 1 0 0 0.304911937377691 0.562113502935421
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 1 1 0 3 1 0 0 0.308082191780822 0.498356164383561
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 2 1 0 1 2 0 0 0.303581213307241 0.561565557729941
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 1 2 1 1 1 0 0.317984 0.58544
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 0 1 2 2 0 0 0.29998 0.513249
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 2 0 2 2 0 0 0.305147 0.565832
