Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 3 0 1 0 0.296301 0.488337
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 3 0 1 0 0.29544 0.490333
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 1 3 0 1 0 0.30409 0.48683
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 1 0 3 0 1 0 0.316184 0.486771
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 3 2 1 0 0.295108 0.49045
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 1 0 0 3 1 1 0 0.291194 0.490744
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 0 3 1 1 0 0.287025 0.491605
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 3 1 0 0 3 0 1 0 0.302055 0.486204
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 1 1 0 3 0 1 0 0.291174 0.491292
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 3 1 0 0 3 0 1 0 0.29726 0.487573
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 1 0 1 3 0 0 0 0.293601 0.490489
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 0 0 0 3 1 1 0 0.284344 0.493562
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 0 3 2 0 0 0.283288 0.497495
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 3 1 1 0 0.292955 0.48775
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 1 0 0 3 1 1 0 0.28771 0.491879
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 3 1 1 0 0.29135 0.490528
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 0 1 0 3 1 1 0 0.309726 0.486575
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 2 1 0 3 0 1 0 0.275988 0.486517
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1 1 1 1 1 1 0 0.279413 0.530548
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 1 1 0 3 1 0 0 0.287828 0.492994
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 2 1 0 3 1 0 0 0.282564 0.493523
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 0 3 1 1 0 0.300431 0.487358
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 3 1 1 0 0.289804 0.490117
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 3 1 1 0 0.281115 0.512094
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 3 2 0 0 3 0 0 0 0.282681 0.492896
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 2 1 0 0.292701 0.490274
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 2 0 0 3 1 0 0 0.28593 0.491487
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 3 0 1 0 0.298611 0.48407
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 2 0 0 2 1 1 0 0.280137 0.50771
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 1 0 0 3 1 1 0 0.290626 0.490372
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 2 0 1 3 0 0 0 0.294814 0.488239
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 3 0 1 3 0 0 0 0.288434 0.487182
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 3 1 1 0 0.303229 0.487084
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 3 2 0 0 0.282896 0.496673
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 3 0 1 0 0.286556 0.490411
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 2 0 0 3 1 0 0 0.281311 0.497143
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 2 0 0 2 1 1 0 0.277769 0.512368
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 0 0 3 0 1 0 0.286223 0.490607
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 0 1 2 0 1 0 0.275656 0.512583
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 2 0 0 2 1 1 0 0.2791 0.507084
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 2 1 0 2 0 1 0 0.275245 0.511585
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 2 1 0 2 1 1 0 0.276067 0.509002
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 2 0 0 3 0 1 0 0.281585 0.494149
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 2 0 0 3 0 1 0 0.285068 0.487143
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 1 1 0 2 2 0 0 0.280548 0.51317
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 3 0 0 1 1 1 0 0.27908 0.531977
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 3 0 1 0 0.280607 0.488356
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 3 0 0 3 0 1 0 0.279335 0.513738
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 0 0 3 0 1 0 0.279961 0.513405
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 2 0 0 3 0 1 0 0.284227 0.486654
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 0 0 3 0 1 0 0.281389 0.492133
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 0 0 2 1 1 0 0.272759 0.509452
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 3 0 0 2 1 1 0 0.280196 0.509198
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 3 1 1 0 0.282798 0.486928
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 1 2 1 1 0 0.278787 0.50589
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 3 1 1 0 0.299569 0.490685
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 1 0 0 3 1 1 0 0.294012 0.492564
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 2 0 0 2 2 0 0 0.275793 0.51227
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 3 2 0 0 0.283894 0.495108
