"gen" "evaltime" "searchtime" "evalANDsearch"
"0" "1.507998e-05 mins" "0.0004571676 mins" "0.0004751801 mins"
"1" "44.6071 mins" "0.004236639 mins" "44.61134 mins"
"2" "45.15749 mins" "0.00413053 mins" "45.16162 mins"
"3" "44.29999 mins" "0.003942331 mins" "44.30394 mins"
"4" "43.92175 mins" "0.003979031 mins" "43.92573 mins"
"5" "42.06312 mins" "0.003876177 mins" "42.06699 mins"
"6" "43.01569 mins" "0.003842763 mins" "43.01953 mins"
"7" "42.09576 mins" "0.005246556 mins" "42.10101 mins"
"8" "39.80012 mins" "0.003795707 mins" "39.80392 mins"
"9" "38.38741 mins" "0.003800027 mins" "38.39121 mins"
"10" "35.71823 mins" "0.003812452 mins" "35.72204 mins"
"11" "34.19857 mins" "0.003755542 mins" "34.20233 mins"
"12" "32.66196 mins" "0.005249981 mins" "32.66722 mins"
"13" "30.34865 mins" "0.00373534 mins" "30.35239 mins"
"14" "28.86728 mins" "0.00369546 mins" "28.87098 mins"
"15" "27.38953 mins" "0.00385801 mins" "27.39339 mins"
"16" "24.25081 mins" "0.003878665 mins" "24.25469 mins"
"17" "19.94086 mins" "0.003772394 mins" "19.94464 mins"
"18" "14.90422 mins" "0.003829515 mins" "14.90805 mins"
"19" "8.214314 mins" "0.003871953 mins" "8.218191 mins"
