PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 1 0 1 2 1 0 0 0.0843248532289628 0.429256360078278
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 1 2 1 1 1 0 0.0794324853228963 0.419765166340509
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 3 1 0 2 1 0 0.0821330724070451 0.45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 2 1 1 1 1 1 0 0.0751663405088063 0.441037181996086
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 1 3 1 0 2 0 0 0.0735420743639922 0.432289628180039
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 3 1 2 0 1 0 1 0 0.0748923679060666 0.466086105675147
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1 3 1 1 1 1 0 0 0.074853228962818 0.441761252446184
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 2 0 3 1 1 1 0 0 0.080293542074364 0.449256360078278
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 0 1 2 1 1 0 0.0751272015655577 0.451506849315069
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 2 1 2 0 0 0.083091976516634 0.437866927592955
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 0 2 1 1 0 0.0709784735812133 0.435675146771037
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 1 0 2 0 2 0 0 0.0823091976516634 0.409178082191781
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 2 2 0 1 2 0 0 0.0823874755381605 0.464872798434442
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 0 3 2 1 1 0 0 0 0.074481409001957 0.434500978473581
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 3 1 2 0 1 1 0 0.0749510763209394 0.420763209393346
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 2 0 1 2 0 2 0 0 0.0839138943248533 0.428140900195695
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 1 1 2 1 0 0 0.0841682974559687 0.431291585127201
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 2 0 1 1 2 1 0 0.0917221135029355 0.429471624266145
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 1 2 1 2 1 0 0 0.0770254403131116 0.426751467710372
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 2 0 0 1 3 1 0 0.0913307240704501 0.441996086105675
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 2 1 1 2 0 0 0 0.0792563600782779 0.435068493150685
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 1 1 0 2 2 0 0 0.0810176125244618 0.468140900195695
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 3 2 1 1 0 1 0 0 0.0791780821917809 0.433346379647749
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 1 2 1 1 1 1 0 0.0879060665362036 0.431252446183953
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 1 0 1 2 1 0 0 0.0899608610567515 0.407671232876712
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 2 1 0 0 2 2 0 0 0.0924461839530333 0.421898238747554
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 1 2 0 0 0 0.0846966731898239 0.434637964774951
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 0 0 1 2 1 0 0.0803718199608611 0.43160469667319
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 2 3 2 0 0 1 1 0 0 0.0818003913894325 0.43587084148728
