EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 0 2 1 1 0 0.0709784735812133 0.435675146771037
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 1 0 2 1 2 0 0 0 0.0719373776908024 0.416183953033268
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 2 2 1 0 1 0 0.0797651663405088 0.409843444227006
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 1 0 2 0 2 0 0 0.0823091976516634 0.409178082191781
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 1 2 1 2 0 0 0.0873972602739726 0.408277886497065
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 1 0 1 2 1 0 0 0.0899608610567515 0.407671232876712
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 3 0 0 2 0 2 0 0 0.0925440313111546 0.405088062622309
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 0 2 1 1 0 0.0709784735812133 0.435675146771037
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 1 0 2 1 2 0 0 0 0.0719373776908024 0.416183953033268
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 2 2 1 0 1 0 0.0797651663405088 0.409843444227006
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 1 0 2 0 2 0 0 0.0823091976516634 0.409178082191781
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 1 2 1 2 0 0 0.0873972602739726 0.408277886497065
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 1 0 1 2 1 0 0 0.0899608610567515 0.407671232876712
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 3 0 0 2 0 2 0 0 0.0925440313111546 0.405088062622309
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 1 2 1 1 1 1 0 1 0 0 0.073738 0.414344
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 1 1 1 1 1 0 0 0.071487 0.419276
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 1 0 1 1 0 0 1 0 0.078102 0.413836
