"IgnitePropellant","SealGas","GeneratePressure","InitiateInflightPower","ModifyAttitude","ArmWarheadFuze","SendFireCommand","Launch","BallisticFlight","TerminalEffects","System","System.1","red_system.1"
0,3,2,1,1,1,0,3,0,0,0,0.082446,0.378787
2,3,2,2,1,0,0,3,0,0,0,0.07319,0.384677
0,3,2,3,1,1,0,3,0,0,0,0.072661,0.386517
0,3,3,1,0,1,0,3,0,1,0,0.08227,0.380078
1,3,3,2,0,0,0,3,0,0,0,0.073601,0.38319
0,3,2,1,1,0,1,3,0,0,0,0.07773,0.382877
0,3,2,3,0,0,2,2,0,0,1,0.065264,0.390137
0,3,1,2,1,0,2,3,0,0,0,0.069119,0.389139
0,3,3,3,1,0,0,2,0,0,0,0.070783,0.388082
0,3,2,3,1,0,1,3,0,0,0,0.072564,0.387436
