Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 2 0 1 0 2 1 1 0 0.0709784735812133 0.435675146771037
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 1 0 2 1 2 0 0 0 0.0719373776908024 0.416183953033268
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 3 1 3 0 0 0 0.072641878669276 0.447847358121331
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 1 3 1 0 2 0 0 0.0735420743639922 0.432289628180039
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 2 1 1 0 1 0 0 0.0735420743639922 0.441565557729941
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 1 0 2 0 1 2 0 0 0.0736399217221135 0.434892367906066
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 2 1 0 1 0 2 0 0 0.0739530332681018 0.42986301369863
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 0 3 2 1 1 0 0 0 0.074481409001957 0.434500978473581
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 1 1 1 0 2 1 0 0 0.0746575342465753 0.453405088062622
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1 3 1 1 1 1 0 0 0.074853228962818 0.441761252446184
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 3 1 2 0 1 0 1 0 0.0748923679060666 0.466086105675147
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 3 1 2 0 1 1 0 0.0749510763209394 0.420763209393346
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 1 1 2 1 0 0 0.0751076320939335 0.435303326810176
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 0 1 2 1 1 0 0.0751272015655577 0.451506849315069
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 2 1 1 1 1 1 0 0.0751663405088063 0.441037181996086
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 1 0 1 0 0 0 1 0 0.0757534246575342 0.431585127201565
