Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 5 1 0 4 0 0 0 0 0 0.105557729941292 0.451956947162427
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 3 3 0 3 0 0 0 0 0 0.107377690802348 0.424911937377691
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 1 4 1 1 2 0 0 0 0 0 0.107534246575343 0.470841487279843
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 1 0 2 0 0 0 0 0 0.107827788649706 0.404207436399217
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 3 2 1 4 0 0 0 0 0 0.107886497064579 0.449452054794521
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 6 4 1 0 1 0 0 0 0 0 0.10894324853229 0.430528375733855
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 1 2 1 1 2 0 0 0 0 0 0.109197651663405 0.463170254403131
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 4 2 1 3 0 0 0 0 0 0.109510763209393 0.435283757338552
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 4 0 1 2 0 0 0 0 0 0.109667318982387 0.42440313111546
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 2 3 0 1 2 0 0 0 0 0 0.111389432485323 0.445557729941291
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 1 0 2 5 0 0 0 0 0 0.112211350293542 0.451487279843444
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 5 1 2 2 0 0 0 0 0 0.112915851272016 0.459765166340509
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 3 3 2 0 0 0 0 0 0.11293542074364 0.432700587084149
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 2 2 1 5 0 0 0 0 0 0.113170254403131 0.448610567514677
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 4 0 2 2 0 0 0 0 0 0.113268101761252 0.432857142857143
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 3 1 2 0 3 0 0 0 0 0 0.113502935420744 0.450547945205479
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 1 4 0 1 1 0 0 0 0 0 0.113522504892368 0.467925636007828
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 2 4 4 0 1 0 0 0 0 0 0.113718199608611 0.475264187866928
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 1 1 4 3 0 0 0 0 0 0.113718199608611 0.449432485322896
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 1 4 1 2 0 0 0 0 0 0.113894324853229 0.444422700587084
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 5 2 0 2 0 0 0 0 0 0.114109589041096 0.479256360078278
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 3 1 4 0 0 0 0 0 0.11412915851272 0.442563600782779
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 4 3 2 0 0 0 0 0 0.114344422700587 0.450645792563601
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 3 3 2 0 0 0 0 0 0.114774951076321 0.451095890410959
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 2 4 4 0 0 0 0 0 0.115225048923679 0.495283757338552
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 1 2 7 0 0 0 0 0 0.115831702544031 0.47880626223092
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 1 2 1 4 0 0 0 0 0 0.116046966731898 0.438101761252446
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 3 3 2 0 2 0 0 0 0 0 0.116320939334638 0.466477495107632
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 3 1 2 2 0 0 0 0 0 0.116614481409002 0.427084148727984
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 2 4 3 0 0 0 0 0 0.116653620352251 0.484931506849315
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 0 3 0 2 0 0 0 0 0 0.116868884540117 0.41399217221135
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 5 2 0 2 3 0 0 0 0 0 0.117162426614481 0.46320939334638
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 5 2 2 3 0 0 0 0 0 0.117260273972603 0.473561643835616
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 1 1 2 2 3 0 0 0 0 0 0.117945205479452 0.461487279843444
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5 1 4 3 2 0 0 0 0 0 0.118043052837573 0.44706457925636
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 6 2 3 0 0 0 0 0 0.118082191780822 0.479178082191781
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 1 4 1 2 2 0 0 0 0 0 0.118277886497065 0.474246575342465
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 1 3 1 0 0 0 0 0 0.118336594911937 0.472954990215264
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 4 2 2 4 0 0 0 0 0 0.11853228962818 0.532367906066536
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5 2 0 5 2 0 0 0 0 0 0.118590998043053 0.467573385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 2 3 5 0 0 0 0 0 0 0.118610567514677 0.473737769080235
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 1 3 1 3 0 0 0 0 0 0.118767123287671 0.440841487279844
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 3 4 0 2 0 0 0 0 0 0.119060665362035 0.428708414872798
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 5 1 3 0 0 0 0 0 0 0.119158512720157 0.443052837573385
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 4 3 3 3 0 0 0 0 0 0.119334637964775 0.485009784735812
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 4 6 0 1 0 0 0 0 0 0.11986301369863 0.476223091976517
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 0 0 2 4 0 0 0 0 0 0.119921722113503 0.462759295499021
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 1 1 4 2 0 0 0 0 0 0.120489236790607 0.444481409001957
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 5 3 1 2 0 0 0 0 0 0.120645792563601 0.471624266144814
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 5 2 1 4 0 0 0 0 0 0.120684931506849 0.46320939334638
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 5 3 3 1 0 0 0 0 0 0.120684931506849 0.464559686888454
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 3 3 4 0 0 0 0 0 0.120978473581213 0.482857142857143
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 6 0 4 4 0 0 0 0 0 0.121076320939335 0.535636007827789
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 0 3 3 2 0 0 0 0 0 0.121135029354207 0.427573385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 1 4 2 3 0 0 0 0 0 0.121682974559687 0.469706457925636
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 5 0 0 0 0 0 0.122093933463796 0.494892367906066
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 5 5 0 0 0 0 0 0.122328767123288 0.448082191780822
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 5 0 6 0 0 0 0 0 0 0.122348336594912 0.475146771037182
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 4 1 1 4 0 0 0 0 0 0 0.12238747553816 0.404716242661448
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 1 1 2 1 5 0 0 0 0 0 0.122720156555773 0.462544031311155
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 1 4 1 0 0 0 0 0 0.122915851272016 0.528297455968689
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 5 5 0 2 0 0 0 0 0 0.122954990215264 0.485303326810176
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 2 1 3 0 1 0 0 0 0 0 0.123581213307241 0.425440313111546
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 3 2 2 1 0 0 0 0 0 0.123874755381605 0.522857142857143
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 3 3 0 4 0 0 0 0 0 0.124598825831703 0.52481409001957
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 2 2 3 4 0 0 0 0 0 0.124716242661448 0.476575342465753
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 2 6 3 0 0 0 0 0 0.124735812133072 0.461722113502935
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 4 1 0 5 0 0 0 0 0 0.124814090019569 0.53215264187867
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 2 4 2 0 0 0 0 0 0 0.124990215264188 0.431996086105675
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 0 1 4 1 1 0 0 0 0 0 0.125166340508806 0.525264187866928
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 1 3 3 4 0 0 0 0 0 0 0.125244618395303 0.491487279843444
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 1 3 2 1 0 0 0 0 0 0.126281800391389 0.42371819960861
