EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 5 1 0 4 0 0 0 0 0 0.105557729941292 0.451956947162427
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 3 3 0 3 0 0 0 0 0 0.107377690802348 0.424911937377691
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 1 0 2 0 0 0 0 0 0.107827788649706 0.404207436399217
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 1 0 2 0 0 0 0 0 0.107827788649706 0.404207436399217
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 0 2 2 0 0 0 0 0 0.106654 0.414305
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 3 2 2 0 3 0 0 0 0 0 0.103855 0.42135
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 1 0 2 0 0 0 0 0 0.107827788649706 0.404207436399217
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 3 2 2 0 3 0 0 0 0 0 0.103855 0.42135
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 4 0 0 3 0 0 0 0 0 0.100978 0.425714
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 2 2 0 3 0 0 0 0 0 0.100215 0.428493
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 2 0 0 0 0 0 0.103914 0.407339
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 0 3 0 2 0 0 0 0 0 0.126614 0.399022
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 4 0 0 3 0 0 0 0 0 0.100978 0.425714
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 2 2 0 3 0 0 0 0 0 0.100215 0.428493
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 2 3 0 0 2 0 0 0 0 0 0.09865 0.443601
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 1 0 0 0 0 0 0.107456 0.399746
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 2 2 0 3 0 0 0 0 0 0.100215 0.428493
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 2 3 0 0 2 0 0 0 0 0 0.09865 0.443601
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 1 0 0 0 0 0 0.107456 0.399746
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 4 2 0 3 0 0 0 0 0 0.100431 0.421977
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 1 1 0 0 0 0 0 0.107632 0.397808
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 2 2 0 3 0 0 0 0 0 0.100215 0.428493
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 1 0 0 0 0 0 0.107456 0.399746
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 4 2 0 3 0 0 0 0 0 0.100431 0.421977
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 1 1 0 0 0 0 0 0.107632 0.397808
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 1 0 0 0 0 0 0.107456 0.399746
6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 1 1 0 0 0 0 0 0.107632 0.397808
6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 3 0 0 4 0 0 0 0 0 0.094501 0.419883
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 3 0 1 1 0 0 0 0 0 0.107456 0.399746
7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 1 1 0 0 0 0 0 0.107632 0.397808
7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 3 0 0 4 0 0 0 0 0 0.094501 0.419883
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
