Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 5 0 0 2 0 0 0 0 0 0.102485 0.418004
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.132094 0.368865
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 4 1 0 2 0 0 0 0 0 0.100802 0.430822
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 3 1 1 0 0 0 0 0 0 0.119667 0.375479
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 4 1 0 2 0 0 0 0 0 0.103346 0.400665
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 5 2 1 0 1 0 0 0 0 0 0.104168 0.38863
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 1 0 0 1 0 0 0 0 0 0.118552 0.37638
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 5 4 0 0 3 0 0 0 0 0 0.102779 0.410978
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 1 1 0 0 0 0 0 0 0 0.120078 0.372622
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 5 2 0 0 2 0 0 0 0 0 0.108415 0.38593
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 4 0 0 2 0 0 0 0 0 0.101703 0.424814
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 5 1 0 0 2 0 0 0 0 0 0.108317 0.388591
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 5 2 1 0 1 0 0 0 0 0 0.108395 0.380157
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 2 3 1 0 3 0 0 0 0 0 0.097476 0.435127
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 5 2 0 0 0 0 0 0 0 0 0.110744 0.370176
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 3 0 0 2 0 0 0 0 0 0.099706 0.390802
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 6 3 0 0 2 0 0 0 0 0 0.099119 0.400372
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 1 1 0 2 0 0 0 0 0 0.106888 0.388865
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 6 2 0 0 1 0 0 0 0 0 0.10771 0.381468
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 1 1 0 1 0 0 0 0 0 0.122348 0.38317
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 3 1 0 2 0 0 0 0 0 0.095695 0.401057
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 2 0 0 2 0 0 0 0 0 0.110039 0.39227
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 4 3 0 0 1 0 0 0 0 0 0.106067 0.392779
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 1 0 0 0 0 0 0 0.131545988258317 0.387808219178082
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 7 0 0 0 0 0 0 0 0 0 0.128415 0.38863
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.101272 0.401703
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 1 1 1 0 0 0 0 0 0.118493 0.393346
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 3 0 0 4 0 0 0 0 0 0.094501 0.419883
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 4 2 0 0 2 0 0 0 0 0 0.099922 0.412524
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 4 1 0 0 2 0 0 0 0 0 0.105656 0.396869
