EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 1 2 3 3 0 0 0 0 0 0.130900195694716 0.495029354207437
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 3 6 1 0 0 0 0 0 0.134520547945205 0.476438356164383
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 1 2 3 3 0 0 0 0 0 0.130900195694716 0.495029354207437
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 2 0 0 0 0 0 0.134051 0.433053
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 3 5 0 0 0 0 0 0 0.13137 0.478571
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 2 0 0 0 0 0 0.134051 0.433053
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 4 5 2 0 0 0 0 0 0.124149 0.461683
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 4 6 1 0 0 0 0 0 0.131135 0.460333
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 6 1 0 0 0 0 0 0.142329 0.422877
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 2 0 0 0 0 0 0.134051 0.433053
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 4 5 2 0 0 0 0 0 0.124149 0.461683
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 5 3 0 0 0 0 0 0 0.132446 0.445949
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 5 5 0 0 0 0 0 0 0.129765 0.447084
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 5 2 0 0 0 0 0 0.139217 0.419256
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 2 0 0 0 0 0 0.134051 0.433053
4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 4 5 2 0 0 0 0 0 0.124149 0.461683
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 5 5 0 0 0 0 0 0 0.129765 0.447084
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 5 2 0 0 0 0 0 0.139217 0.419256
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 5 3 0 0 0 0 0 0 0.133307 0.441507
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 4 5 1 0 0 0 0 0 0.128415 0.45591
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 0 5 5 0 0 0 0 0 0 0.132348 0.444892
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 1 3 6 0 0 0 0 0 0 0.122994 0.474677
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 2 0 0 0 0 0 0.134051 0.433053
5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 4 5 2 0 0 0 0 0 0.124149 0.461683
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 5 5 0 0 0 0 0 0 0.129765 0.447084
5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 5 2 0 0 0 0 0 0.139217 0.419256
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 1 3 6 0 0 0 0 0 0 0.122994 0.474677
