PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 6 0 2 2 0 0 0 0 0 0.156634050880626 0.537651663405088
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 3 1 4 3 0 0 0 0 0 0.142681017612524 0.516810176125244
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 3 2 0 3 2 0 0 0 0 0 0.154892367906066 0.540313111545988
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 2 3 2 0 0 0 0 0 0.142857142857143 0.494422700587084
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 1 5 1 2 0 0 0 0 0 0.141174168297456 0.445088062622309
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 0 5 1 3 0 0 0 0 0 0.148962818003914 0.446457925636008
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 5 0 0 0 0 0 0 0.136888454011742 0.478962818003914
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 4 0 0 3 0 0 0 0 0 0.161291585127202 0.538825831702544
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 5 2 5 0 0 0 0 0 0.148277886497064 0.445714285714286
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 7 1 4 1 0 0 0 0 0 0.156555772994129 0.51720156555773
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 3 0 7 0 0 0 0 0 0.157240704500979 0.479491193737769
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 4 1 5 0 0 0 0 0 0.15385518590998 0.462622309197652
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 3 5 2 0 0 0 0 0 0 0.145303326810176 0.447123287671233
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 5 3 3 3 0 0 0 0 0 0.150684931506849 0.47587084148728
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 3 2 0 4 0 0 0 0 0 0.159158512720157 0.495812133072407
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 5 4 2 0 0 0 0 0 0.152426614481409 0.449882583170254
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 1 2 5 0 1 0 0 0 0 0 0.152994129158513 0.448434442270059
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 3 4 1 2 0 0 0 0 0 0.153542074363992 0.463248532289628
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 5 3 2 0 0 0 0 0 0.150352250489237 0.446555772994129
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 0 1 7 0 0 0 0 0 0.157827788649706 0.539530332681017
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 3 6 1 0 0 0 0 0 0.134520547945205 0.476438356164383
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 3 4 2 0 0 0 0 0 0.143522504892368 0.478864970645792
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 4 1 1 1 3 0 0 0 0 0 0.151976516634051 0.51518590998043
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 1 0 1 4 0 0 0 0 0 0.150626223091977 0.539119373776908
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 2 3 2 0 2 0 0 0 0 0 0.155362035225049 0.496829745596869
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 4 2 6 1 0 0 0 0 0 0.138493150684931 0.494324853228963
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 3 3 3 2 0 0 0 0 0 0.149021526418787 0.480489236790607
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 2 2 1 2 1 0 0 0 0 0 0.151154598825832 0.514931506849315
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 2 4 1 0 0 0 0 0 0 0.143581213307241 0.461996086105675
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 4 3 2 1 0 0 0 0 0 0.149686888454012 0.47866927592955
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 1 2 2 5 0 0 0 0 0 0.154559686888454 0.492896281800391
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 1 0 2 5 0 0 0 0 0 0.150019569471624 0.537514677103718
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 1 4 2 3 0 0 0 0 0 0.149021526418787 0.459452054794521
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 5 0 5 1 0 0 0 0 0 0.150958904109589 0.539060665362035
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 4 1 1 1 0 0 0 0 0 0.14720156555773 0.517964774951076
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 0 2 2 4 0 0 0 0 0 0.145166340508806 0.495205479452055
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 3 2 1 1 1 0 0 0 0 0 0.146751467710372 0.514227005870842
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 3 5 0 2 0 0 0 0 0 0.148023483365949 0.44559686888454
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 3 0 2 4 0 0 0 0 0 0.156536203522505 0.538493150684931
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 4 5 3 0 0 0 0 0 0 0.143033268101761 0.446497064579256
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 1 4 2 0 0 0 0 0 0 0.13880626223092 0.46041095890411
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 2 2 1 3 0 0 0 0 0 0.148786692759296 0.49812133072407
