Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 1 2 3 3 0 0 0 0 0 0.130900195694716 0.495029354207437
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 3 6 1 0 0 0 0 0 0.134520547945205 0.476438356164383
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 6 2 0 0 0 0 0 0.135127201565558 0.429412915851272
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 5 0 0 0 0 0 0 0.136888454011742 0.478962818003914
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 4 3 1 0 0 0 0 0 0.13812133072407 0.464442270058708
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 4 3 0 0 0 0 0 0.138356164383562 0.445792563600783
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 4 2 6 1 0 0 0 0 0 0.138493150684931 0.494324853228963
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 1 4 2 0 0 0 0 0 0 0.13880626223092 0.46041095890411
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 2 2 1 3 1 0 0 0 0 0 0.140058708414873 0.517710371819961
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 3 0 3 3 1 0 0 0 0 0 0.140097847358121 0.476614481409002
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 2 2 1 1 0 0 0 0 0 0.140254403131115 0.495009784735812
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 1 4 4 0 0 0 0 0 0.14027397260274 0.516477495107632
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 1 5 1 2 0 0 0 0 0 0.141174168297456 0.445088062622309
