"gen" "evaltime" "searchtime" "evalANDsearch"
"0" "1.226266e-05 mins" "0.0004148761 mins" "0.0004289746 mins"
"1" "40.86132 mins" "0.003316498 mins" "40.86463 mins"
"2" "39.15039 mins" "0.003679732 mins" "39.15407 mins"
"3" "39.75982 mins" "0.00376966 mins" "39.76359 mins"
"4" "38.65102 mins" "0.00395385 mins" "38.65498 mins"
"5" "35.76222 mins" "0.003872689 mins" "35.7661 mins"
"6" "35.11208 mins" "0.003808574 mins" "35.11589 mins"
"7" "32.03494 mins" "0.003830453 mins" "32.03877 mins"
"8" "23.44789 mins" "0.003915838 mins" "23.45181 mins"
"9" "17.89193 mins" "0.003736277 mins" "17.89566 mins"
"10" "16.1928 mins" "0.003709086 mins" "16.19651 mins"
"11" "11.46068 mins" "0.003689492 mins" "11.46437 mins"
"12" "6.744224 mins" "0.003609312 mins" "6.747836 mins"
"13" "8.322175 mins" "0.003644252 mins" "8.325821 mins"
"14" "5.065653 mins" "0.003608437 mins" "5.069263 mins"
"15" "3.854842 mins" "0.003659586 mins" "3.858503 mins"
"16" "3.274166 mins" "0.003595726 mins" "3.277764 mins"
