EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 3 2 2 0 3 0 0 0 0 0 0.0876908023483366 0.360215264187867
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 1 0 0 3 0 0 0 0 0 0.0895694716242661 0.339745596868884
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 6 2 0 0 2 0 0 0 0 0 0.0926810176125245 0.337866927592955
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 1 0 5 0 0 0 0 0 0.087221 0.345382
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 0 0 2 0 0 0 0 0 0.088004 0.33544
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 1 0 5 0 0 0 0 0 0.087221 0.345382
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 0 0 2 0 0 0 0 0 0.088004 0.33544
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 1 2 0 5 0 0 0 0 0 0.086888 0.358513
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 1 0 5 0 0 0 0 0 0.087221 0.345382
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 0 0 2 0 0 0 0 0 0.088004 0.33544
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 1 2 0 5 0 0 0 0 0 0.086888 0.358513
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 1 3 0 3 0 0 0 0 0 0.087945 0.337769
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 0 0 2 0 0 0 0 0 0.088004 0.33544
4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 1 3 0 3 0 0 0 0 0 0.087945 0.337769
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 1 1 0 5 0 0 0 0 0 0.087123 0.340391
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 0 0 5 0 0 0 0 0 0.085303 0.345264
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 0 1 6 0 0 0 0 0 0.08411 0.352329
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 1 0 0 3 0 0 0 0 0 0.092114 0.333366
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 0 0 5 0 0 0 0 0 0.085303 0.345264
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 0 1 6 0 0 0 0 0 0.08411 0.352329
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 1 0 0 3 0 0 0 0 0 0.092114 0.333366
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 5 0 0 0 0 0 0.08544 0.34182
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 0 1 0 5 0 0 0 0 0 0.086125 0.335382
6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 0 1 6 0 0 0 0 0 0.08411 0.352329
6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 0 1 0 5 0 0 0 0 0 0.086125 0.335382
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 3 0 5 0 0 0 0 0 0.084344 0.336497
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 0 1 0 6 0 0 0 0 0 0.087299 0.335225
7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 0 1 6 0 0 0 0 0 0.08411 0.352329
7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 0 1 0 5 0 0 0 0 0 0.086125 0.335382
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 3 0 5 0 0 0 0 0 0.084344 0.336497
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 0 1 0 6 0 0 0 0 0 0.087299 0.335225
8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 0 1 6 0 0 0 0 0 0.08411 0.352329
8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 0 1 0 5 0 0 0 0 0 0.086125 0.335382
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 3 0 5 0 0 0 0 0 0.084344 0.336497
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 0 1 0 6 0 0 0 0 0 0.087299 0.335225
8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 1 6 0 0 0 0 0 0.085166 0.335969
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 0 0 6 0 0 0 0 0 0.081311 0.331409
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
10 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 0 0 6 0 0 0 0 0 0.081311 0.331409
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
11 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 0 0 6 0 0 0 0 0 0.081311 0.331409
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
12 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 0 0 6 0 0 0 0 0 0.081311 0.331409
13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 2 1 0 2 0 0 0 0 0 0.087358 0.330646
13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 1 2 1 1 0 0 0 0 0 0.090744 0.328826
13 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 0 0 6 0 0 0 0 0 0.081311 0.331409
