Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 3 2 2 0 3 0 0 0 0 0 0.0876908023483366 0.360215264187867
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 1 3 5 0 0 0 0 0 0.0878864970645793 0.36252446183953
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 2 1 4 4 0 0 0 0 0 0.0885909980430528 0.367925636007828
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 2 1 0 5 0 0 0 0 0 0.0893346379647749 0.365851272015655
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 1 0 0 3 0 0 0 0 0 0.0895694716242661 0.339745596868884
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 6 1 2 2 0 0 0 0 0 0.0895890410958904 0.369628180039139
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 4 1 1 3 3 0 0 0 0 0 0.0897260273972603 0.3573385518591
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 3 1 2 3 0 0 0 0 0 0.0898238747553816 0.365283757338552
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 2 3 1 2 0 0 0 0 0 0.0901956947162426 0.346379647749511
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 3 2 1 2 0 0 0 0 0 0.0904500978473582 0.352485322896282
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 1 6 0 0 3 0 0 0 0 0 0.0905283757338552 0.400567514677104
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 4 2 0 3 0 0 0 0 0 0.0906653620352251 0.362504892367906
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 2 1 3 4 0 0 0 0 0 0.0908219178082192 0.369686888454012
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 0 0 5 3 0 0 0 0 0 0.0909980430528376 0.355068493150685
