EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 3 3 3 1 0 0 0 0 0 0.285753424657534 0.55600782778865
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 5 3 1 0 0 0 0 0 0.293189823874755 0.510156555772994
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 2 7 1 0 0 0 0 0 0 0.302837573385519 0.479628180039139
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 7 0 3 0 0 0 0 0 0.327534246575342 0.47334637964775
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 3 3 3 1 0 0 0 0 0 0.285753424657534 0.55600782778865
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 7 0 3 0 0 0 0 0 0.327534246575342 0.47334637964775
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 5 3 0 0 0 0 0 0 0.286791 0.518689
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 7 1 0 0 0 0 0 0 0.291057 0.474188
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 5 3 0 0 0 0 0 0 0.286791 0.518689
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 4 5 1 0 0 0 0 0 0.280998 0.534658
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 2 6 2 1 0 0 0 0 0 0.287104 0.492896
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 7 1 0 0 0 0 0 0 0.2909 0.469315
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 7 1 0 0 0 0 0 0 0.2909 0.469315
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 2 6 3 0 0 0 0 0 0 0.277397 0.491292
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 4 5 1 0 0 0 0 0 0.277202 0.536301
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 7 1 0 0 0 0 0 0 0.2909 0.469315
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 6 5 0 0 0 0 0 0 0.26638 0.49045
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 7 3 0 0 0 0 0 0 0.27955 0.473855
4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 7 3 0 0 0 0 0 0 0.283014 0.473738
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 7 1 0 0 0 0 0 0 0.2909 0.469315
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 6 5 0 0 0 0 0 0 0.26638 0.49045
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 7 3 0 0 0 0 0 0 0.27955 0.473855
5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 7 3 0 0 0 0 0 0 0.283014 0.473738
5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 6 3 0 0 0 0 0 0 0.278963 0.487867
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
12 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
12 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
13 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
13 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
14 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
14 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
14 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
14 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
14 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 5 0 0 0 0 0 0 0.267926 0.473816
15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 7 3 1 0 0 0 0 0 0.275225 0.46908
15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 5 0 0 0 0 0 0 0.264012 0.488885
15 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055
15 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 7 5 0 0 0 0 0 0 0.272427 0.469217
