Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 3 3 3 1 0 0 0 0 0 0.285753424657534 0.55600782778865
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 4 3 3 0 0 0 0 0 0 0.28972602739726 0.560528375733855
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 5 3 1 0 0 0 0 0 0.293189823874755 0.510156555772994
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 5 5 0 0 0 0 0 0.297886497064579 0.536829745596869
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 2 4 2 2 0 0 0 0 0 0.299921722113503 0.534168297455969
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 1 1 2 5 0 0 0 0 0 0 0.300724070450098 0.592230919765166
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 3 2 5 0 0 0 0 0 0.301976516634051 0.560704500978474
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 2 7 1 0 0 0 0 0 0 0.302837573385519 0.479628180039139
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 0 4 2 4 0 0 0 0 0 0.30293542074364 0.534559686888454
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 3 5 3 0 0 0 0 0 0.304207436399217 0.56174168297456
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 0 5 1 2 0 0 0 0 0 0.306086105675147 0.514500978473581
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 2 4 5 0 0 0 0 0 0.306614481409002 0.591565557729942
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 3 0 6 2 0 0 0 0 0 0.306673189823875 0.671956947162427
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 1 1 5 1 1 0 0 0 0 0 0.30692759295499 0.515107632093934
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 4 0 2 3 1 0 0 0 0 0 0.307142857142857 0.592759295499022
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 5 1 1 0 0 0 0 0 0.308434442270059 0.512289628180039
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 4 3 2 0 0 0 0 0 0.309667318982388 0.539393346379648
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 4 1 5 0 0 0 0 0 0.311252446183953 0.536751467710372
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 1 5 2 1 0 0 0 0 0 0.31174168297456 0.513307240704501
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 1 2 5 1 0 0 0 0 0 0.311800391389432 0.592602739726027
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 4 2 4 0 0 0 0 0 0 0.311937377690802 0.593189823874755
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 2 1 3 2 0 0 0 0 0 0 0.31252446183953 0.560782778864971
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 1 4 2 0 0 0 0 0 0.31307240704501 0.629921722113503
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 4 6 0 0 0 0 0 0.313111545988258 0.628571428571429
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 3 4 2 3 0 0 0 0 0 0.313228962818004 0.536849315068493
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 3 3 2 0 0 0 0 0 0 0.313268101761252 0.560019569471624
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 4 5 1 3 0 0 0 0 0 0.31454011741683 0.513679060665362
