EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 1 2 1 2 0 0 0 0.233346379647749 0.466908023483366
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 1 0 2 2 0 0 0.223425 0.463875
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 1 0 2 2 0 0 0.223425 0.463875
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 2 1 1 0 1 2 1 0 0.21544 0.498689
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 1 0 3 2 0 0 0.225597 0.45456
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 2 0 0 2 2 0 0 0.215734 0.483131
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 1 0 2 2 0 0 0.223425 0.463875
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 1 0 3 2 0 0 0.225597 0.45456
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 1 3 2 0 1 1 0 0 0 0.215147 0.478787
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 2 0 2 1 1 0 0 0.214932 0.482681
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
