"IgnitePropellant","SealGas","GeneratePressure","InitiateInflightPower","ModifyAttitude","ArmWarheadFuze","SendFireCommand","Launch","BallisticFlight","TerminalEffects","System","System.1","red_system.1"
1,2,0,0,3,1,1,0,3,0,1,0.217104,0.444501
0,1,1,1,3,2,0,0,3,1,0,0.21045,0.444677
0,2,0,2,3,1,0,0,3,0,1,0.219843,0.444481
0,0,0,0,3,3,0,1,3,0,0,0.209491,0.446928
0,2,0,0,3,3,0,0,3,0,1,0.207671,0.447534
1,1,0,2,3,1,0,0,3,0,1,0.220783,0.442916
0,1,0,0,3,2,1,0,2,1,1,0.207202,0.45865
1,3,0,0,3,2,1,0,2,1,0,0.206869,0.465166
