"gen" "evaltime" "searchtime" "evalANDsearch"
"0" "1.180569e-05 mins" "0.000373435 mins" "0.0003870686 mins"
"1" "43.69442 mins" "0.00317237 mins" "43.6976 mins"
"2" "41.83613 mins" "0.003749561 mins" "41.83989 mins"
"3" "43.4773 mins" "0.003795437 mins" "43.4811 mins"
"4" "41.73246 mins" "0.003763322 mins" "41.73623 mins"
"5" "40.51064 mins" "0.003834291 mins" "40.51447 mins"
"6" "40.17158 mins" "0.003854398 mins" "40.17543 mins"
"7" "37.61221 mins" "0.003676041 mins" "37.61588 mins"
"8" "35.94378 mins" "0.003605672 mins" "35.94739 mins"
"9" "32.85614 mins" "0.003726971 mins" "32.85987 mins"
"10" "31.3844 mins" "0.003638478 mins" "31.38804 mins"
"11" "25.6128 mins" "0.003751012 mins" "25.61655 mins"
"12" "22.83664 mins" "0.003689965 mins" "22.84033 mins"
"13" "23.47488 mins" "0.003846471 mins" "23.47873 mins"
"14" "18.43107 mins" "0.003917126 mins" "18.43499 mins"
"15" "13.5177 mins" "0.003988016 mins" "13.52169 mins"
"16" "10.56736 mins" "0.003948009 mins" "10.57131 mins"
"17" "8.001324 mins" "0.003859742 mins" "8.005185 mins"
"18" "6.018308 mins" "0.003805709 mins" "6.022116 mins"
